,geo_h3_10,city,primary,primary_link,secondary,secondary_link,tertiary,residential,motorway,unclassified
86,8a0bb0204b6ffff,Новосибирск,0,0,0,0,0,3,0,0
87,8a0bb0204b77fff,Новосибирск,0,0,0,0,0,0,0,0
88,8a0bb0204b97fff,Новосибирск,0,0,0,0,0,1,0,0
89,8a0bb0204b9ffff,Новосибирск,0,0,0,0,0,2,0,0
90,8a0bb0204ba7fff,Новосибирск,0,0,0,0,0,0,0,0
91,8a0bb0204baffff,Новосибирск,0,0,0,0,2,2,0,0
92,8a0bb0204c47fff,Новосибирск,0,0,0,0,0,3,0,0
93,8a0bb0204c4ffff,Новосибирск,0,0,0,0,0,0,0,0
94,8a0bb0204c57fff,Новосибирск,0,0,0,0,0,0,0,0
95,8a0bb0204c5ffff,Новосибирск,0,0,0,0,0,0,0,0
96,8a0bb0204c67fff,Новосибирск,0,0,0,0,0,1,0,0
97,8a0bb0204c6ffff,Новосибирск,0,0,0,0,0,2,0,0
98,8a0bb0204c77fff,Новосибирск,0,0,0,0,0,3,0,0
99,8a0bb0204d47fff,Новосибирск,0,0,0,0,0,4,0,0
100,8a0bb0204d4ffff,Новосибирск,0,0,0,0,0,1,0,0
101,8a0bb0204d5ffff,Новосибирск,0,0,0,0,0,3,0,0
102,8a0bb0204d6ffff,Новосибирск,0,0,0,0,0,6,0,0
103,8a0bb0205047fff,Новосибирск,0,0,0,0,0,1,0,0
104,8a0bb020504ffff,Новосибирск,0,0,0,0,0,0,0,0
105,8a0bb0205057fff,Новосибирск,0,0,2,0,0,3,0,0
106,8a0bb020505ffff,Новосибирск,0,0,0,0,0,0,0,0
107,8a0bb0205067fff,Новосибирск,0,0,3,0,0,4,0,0
108,8a0bb020506ffff,Новосибирск,0,0,0,0,0,2,0,0
109,8a0bb02050c7fff,Новосибирск,0,0,0,0,0,1,0,0
110,8a0bb02050cffff,Новосибирск,0,0,0,0,0,3,0,0
111,8a0bb02050dffff,Новосибирск,0,0,0,0,0,0,0,0
112,8a0bb02050effff,Новосибирск,0,0,0,0,0,0,0,0
113,8a0bb020514ffff,Новосибирск,0,0,3,0,0,0,0,0
114,8a0bb0205307fff,Новосибирск,0,0,0,0,0,1,0,0
115,8a0bb020530ffff,Новосибирск,0,0,0,0,0,1,0,0
116,8a0bb0205317fff,Новосибирск,0,0,0,0,0,1,0,0
117,8a0bb020531ffff,Новосибирск,0,0,0,0,0,8,0,0
118,8a0bb0205327fff,Новосибирск,0,0,0,0,0,0,0,0
119,8a0bb020532ffff,Новосибирск,0,0,0,0,0,1,0,0
120,8a0bb0205337fff,Новосибирск,0,0,0,0,0,2,0,0
121,8a0bb0205367fff,Новосибирск,0,0,0,0,0,0,0,0
122,8a0bb0205377fff,Новосибирск,0,0,0,0,0,8,0,0
123,8a0bb0205387fff,Новосибирск,0,0,0,0,0,2,0,0
124,8a0bb020538ffff,Новосибирск,0,0,0,0,0,2,0,0
